;起始地d描述	经过站	终点站	起始时间	到达时间	类型/0/1/2	备注
兴隆山校区	中心校区d信息楼	洪家楼校区d南门内	8:00	n	2	n
兴隆山校区	中心校区d信息楼	洪家楼校区d南门内	9:20	n	2	n
兴隆山校区	中心校区d信息楼	洪家楼校区d南门内	10:30	n	2	n
兴隆山校区	中心校区,洪家楼校区	五宿舍	11:10	n	2	n
兴隆山校区	中心校区d信息楼	洪家楼校区d南门内	12:10	n	2	n
兴隆山校区	中心校区,洪家楼校区	五宿舍	13:20	n	2	n
兴隆山校区	中心校区,洪家楼校区	五宿舍	16:00	n	2	n
兴隆山校区	中心校区d信息楼	洪家楼校区d南门内	17:00	n	2	n
兴隆山校区	中心校区,洪家楼校区	五宿舍	17:45	n	2	n
兴隆山校区	中心校区d信息楼	洪家楼校区d南门内	20:10	n	2	n
兴隆山校区	中心校区d信息楼	洪家楼校区d南门内	22:10	n	2	n
						
趵突泉校区d南门外	千佛山校区d南院北门外,燕山宿舍,马家庄	兴隆山校区	9:15	n	1	n
千佛山校区d南院北门	燕山宿舍,马家庄	兴隆山校区	15:10	n	1	n
千佛山校区d南院北门	n	兴隆山校区	16:00	n	1	n
趵突泉校区	千佛山校区d南院北门	兴隆山校区	21:30	n	1	n
兴隆山校区	n	千佛山校区d南院北门	10:00	n	1	n
兴隆山校区	n	千佛山校区d南院北门	16:00	n	1	n
兴隆山校区	n	千佛山校区d南院北门	17:00	n	1	n
兴隆山校区	趵突泉校区	千佛山校区d南院北门	22:10	n	1	n
						
趵突泉校区d南门	n	千佛山校区d南院北门,燕山宿舍,马家庄	7:10	n	2	n
千佛山校区d南院北门	n	兴隆山校区	8:40	n	2	n
趵突泉校区d南门	n	千佛山校区d南院北门,燕山宿舍,马家庄	9:20	n	2	n
千佛山校区d南院北门	n	兴隆山校区	10:30	n	2	n
千佛山校区d南院北门	n	兴隆山校区	11:10	n	2	n
千佛山校区d南院北门	n	兴隆山校区	12:10	n	2	n
趵突泉校区d南门	n	千佛山校区d南院北门,燕山宿舍,马家庄	13:20	n	2	n
千佛山校区d南院北门	n	兴隆山校区	16:00	n	2	n
趵突泉校区d南门	n	千佛山校区d南院北门,燕山宿舍,马家庄	17:00	n	2	n
千佛山校区d南院北门	n	兴隆山校区	17:30	n	2	n
趵突泉校区	千佛山校区	兴隆山校区	19:30	n	2	n
趵突泉校区	千佛山校区	兴隆山校区	21:30	n	2	n
兴隆山校区	n	千佛山校区d南院北门	7:10	n	2	n
兴隆山校区	趵突泉校区	千佛山校区d南院北门	8:40	n	2	n
兴隆山校区	n	千佛山校区d南院北门	9:20	n	2	n
兴隆山校区	n	千佛山校区d南院北门	10:30	n	2	n
兴隆山校区	趵突泉校区	千佛山校区d南院北门	11:10	n	2	n
兴隆山校区	n	千佛山校区d南院北门	12:10	n	2	n
兴隆山校区	n	千佛山校区d南院北门	13:20	n	2	n
兴隆山校区	趵突泉校区	千佛山校区d南院北门	16:00	n	2	n
兴隆山校区	n	千佛山校区d南院北门	17:00	n	2	n
兴隆山校区	趵突泉校区	千佛山校区d南院北门	17:45	n	2	n
兴隆山校区	趵突泉校区	千佛山校区d南院北门	20:10	n	2	n
兴隆山校区	趵突泉校区	千佛山校区d南院北门	22:10	n	2	n
